diffusion_output_rank	n	diffusion_output_heat
0	135780	0.9901317434352689
1	135808	0.9803492808862267
10	107314	0.878841565319637
11	109790	0.8783215501980526
12	107925	0.8700959650442421
13	109133	0.8529888025003335
14	114727	0.8445360174362928
15	111440	0.8364471500814119
16	107944	0.8362951543560394
17	107678	0.8199852695241117
18	110313	0.8196529976043253
19	129763	0.8195761323846164
2	114813	0.9705892030523948
20	114941	0.8117985716377473
21	114777	0.811770699911253
22	106635	0.808478991512764
23	113198	0.7955867386369755
24	108448	0.780016924185168
25	112251	0.7577989978267918
26	110144	0.7576358695669643
27	119316	0.7574211467341775
28	115296	0.7529376188985332
29	111439	0.7347624995627331
3	123247	0.9235759796334109
30	106905	0.7346989330073191
31	108447	0.7185870530489404
32	111091	0.6726441219441794
33	107022	0.672016878549507
34	107960	0.6718980660224807
35	109335	0.6652871690683847
36	112954	0.6588499686017707
37	113331	0.6543393590734645
38	114380	0.6468664885774617
39	115373	0.6209742038859127
4	110641	0.9197249943775022
40	116224	0.6052408503232006
41	116783	0.5603042694847511
42	114012	0.5440291133542476
43	109134	0.5296953056443605
44	111461	0.47359094726264195
45	109137	0.4493821821192937
46	135752	0.4491185172432177
47	135801	0.4361057604715131
48	112531	0.4313860820293088
49	106958	0.42952779823474285
5	112405	0.9106891133386442
50	112598	0.42377280369072085
51	110141	0.38196808682572214
52	135889	0.36523359097380653
53	111463	0.35285577860111605
54	107480	0.34734873177952236
55	108016	0.3291126252511527
56	106835	0.2919747168845275
57	120866	0.28192433416655754
58	119649	0.26758533628755815
59	110852	0.2524593922905627
6	117672	0.9104244106773532
60	107297	0.2294517159032464
61	119922	0.22079618469117718
62	112876	0.19999330362674209
63	111724	0.18326119655717807
64	122787	0.07015840879021229
65	112979	0.05130883044137785
66	111659	0.04579080389588987
67	112170	0.038854813084487475
68	116983	0.03641231906458898
69	112169	0.029445252076543155
7	109663	0.9052855520586446
70	112530	0.026819493829998167
71	112168	0.02606007635155673
72	116097	0.025181622704556022
73	114200	0.02397232932873411
74	106957	0.02332614736025152
75	114973	0.022211205830719553
76	111219	0.021811772926116163
77	114974	0.021696535820737644
78	127156	0.02107171179615192
79	113841	0.020737325420930965
8	109288	0.8874263925141745
80	119275	0.020658674863527512
81	112255	0.02041845434498711
82	124217	0.020404907845226018
83	108772	0.020315396133461224
84	109282	0.01972323305317218
85	127114	0.019632982140265334
86	107483	0.019430231354382713
87	113222	0.01880254463132049
88	107479	0.01854562945251763
89	107291	0.01813357117829068
9	110143	0.8868221741545063
90	121817	0.01795625641413299
91	107481	0.01791874685752578
92	110272	0.017879420586257074
93	116691	0.017326881969794136
94	109181	0.0171881402299411
95	112258	0.0171693315156018
96	112488	0.016162758843730352
97	108341	0.015882274045149566
98	118984	0.015606969530881205
99	117729	0.01537519674483818
